incident_date,state,airport_id,airport,operator,atype,type_eng,species_id,species,damage,num_engs,incident_month,incident_year,time_of_day,time,height,speed,phase_of_flt,sky,precip
2018-12-31T00:00:00Z,FL,KMIA,MIAMI INTL,AMERICAN AIRLINES,B-737-800,D,UNKBL,Unknown bird - large,M?,2.0,12,2018,Day,1207.0,700.0,200.0,Climb,Some Cloud,None
2018-12-27T00:00:00Z,FL,KMCO,ORLANDO INTL,AMERICAN AIRLINES,A-321,D,UNKBS,Unknown bird - small,N,2.0,12,2018,Night,948.0,600.0,145.0,Approach,Some Cloud,None
2018-12-23T00:00:00Z,FL,KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,AMERICAN AIRLINES,B-737-800,D,I1301,Cattle egret,N,2.0,12,2018,Day,1321.0,0.0,130.0,Take-off Run,No Cloud,None
2018-12-18T00:00:00Z,AZ,KPHX,PHOENIX SKY HARBOR INTL ARPT,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2.0,12,2018,Night,2130.0,4500.0,250.0,Climb,No Cloud,None
2018-12-12T00:00:00Z,NM,KABQ,ALBUQUERQUE INTL SUNPORT,AMERICAN AIRLINES,B-737-800,D,YH004,Horned lark,N,2.0,12,2018,Day,1305.0,0.0,160.0,Take-off Run,Some Cloud,None
2018-12-04T00:00:00Z,CA,KLAX,LOS ANGELES INTL,AMERICAN AIRLINES,A-321,D,UNKBS,Unknown bird - small,N,2.0,12,2018,Day,1345.0,0.0,100.0,Take-off Run,No Cloud,None
2018-12-03T00:00:00Z,FL,KJAX,JACKSONVILLE INTL,AMERICAN AIRLINES,A-320,D,YL001,European starling,N,2.0,12,2018,Day,1415.0,100.0,100.0,Approach,Some Cloud,None
2018-12-03T00:00:00Z,CA,KSMF,SACRAMENTO INTL,AMERICAN AIRLINES,A-320,D,UNKBS,Unknown bird - small,N,2.0,12,2018,Day,1150.0,0.0,150.0,Landing Roll,Some Cloud,None
2018-12-03T00:00:00Z,TX,KAUS,AUSTIN-BERGSTROM INTL,AMERICAN AIRLINES,A-319,D,ZT000,Meadowlarks,N,2.0,12,2018,Day,1400.0,0.0,130.0,Landing Roll,Some Cloud,None
2018-11-29T00:00:00Z,MO,KSTL,LAMBERT-ST LOUIS INTL,AMERICAN AIRLINES,B-737-800,D,J2142,Bufflehead,N,2.0,11,2018,Night,2220.0,500.0,145.0,Approach,Overcast,None
2018-11-27T00:00:00Z,CA,KSMF,SACRAMENTO INTL,AMERICAN AIRLINES,EMB-170,D,J2104,Northern pintail,M?,2.0,11,2018,Day,830.0,2000.0,180.0,Approach,Overcast,Fog
2018-11-26T00:00:00Z,MA,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,AMERICAN AIRLINES,A-321,D,NE101,Herring gull,N,2.0,11,2018,Day,1451.0,20.0,135.0,Approach,Overcast,None
2018-11-26T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,A-321,D,Z6007,American robin,N,2.0,11,2018,Night,2120.0,4000.0,170.0,Approach,No Cloud,None
2018-11-26T00:00:00Z,CA,KLAX,LOS ANGELES INTL,AMERICAN AIRLINES,A-319,D,ZC204,American pipit,N,2.0,11,2018,Day,825.0,500.0,140.0,Approach,No Cloud,None
2018-11-25T00:00:00Z,TX,KDFW,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,A-321,D,UNKBS,Unknown bird - small,N,2.0,11,2018,Night,2020.0,2300.0,180.0,Approach,No Cloud,None
2018-11-24T00:00:00Z,MO,KMCI,KANSAS CITY INTL,AMERICAN AIRLINES,B-737-800,D,ZX004,Dark-eyed junco,N,2.0,11,2018,Night,2245.0,200.0,151.0,Approach,Overcast,None
2018-11-23T00:00:00Z,VI,TISX,HENRY E ROHLSEN ARPT,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2.0,11,2018,Night,2144.0,50.0,150.0,Approach,No Cloud,None
2018-11-23T00:00:00Z,CA,KLAX,LOS ANGELES INTL,AMERICAN AIRLINES,A-319,D,F1002,Western grebe,N,2.0,11,2018,Night,1820.0,1500.0,160.0,Approach,No Cloud,None
2018-11-21T00:00:00Z,NY,KJFK,JOHN F KENNEDY INTL,AMERICAN AIRLINES,B-777-200,D,UNKBL,Unknown bird - large,M?,2.0,11,2018,Night,2218.0,4000.0,230.0,Climb,No Cloud,None
2018-11-21T00:00:00Z,MA,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,AMERICAN AIRLINES,A-321,D,YH004,Horned lark,N,2.0,11,2018,Day,1105.0,0.0,120.0,Take-off Run,Some Cloud,None
